,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Alpha,GaussianSmoothing,Nexample,Epochs
0,classic,cifar10,2,1.5,0,1.0,0.1694185972213745,0.40966176986694336,500,-1,0.2,0.001,100,100
1,classic,cifar10,2,1.5,0,1.0,0.2422757601737976,0.3920462429523468,1000,-1,0.2,0.001,100,100
2,classic,cifar10,2,1.5,0,1.0,0.3925973916053772,0.37432020902633667,2000,-1,0.2,0.001,100,100
3,classic,cifar10,2,1.5,0,1.0,0.7026402401924133,0.36805999279022217,4000,-1,0.2,0.001,100,100
4,classic,cifar10,2,1.5,0,1.0,1.1365938067436219,0.36243152618408203,8000,4000,0.2,0.001,100,100
5,classic,cifar10,2,1.5,0,1.0,2.0364078950881956,0.36047548055648804,16000,4000,0.2,0.001,100,100
6,classic,cifar10,2,0.5,0,0.71,2.277877058982849,0.18681396543979645,500,-1,0.2,0.001,100,100
7,classic,cifar10,2,0.5,0,0.84,2.505904726982117,0.19079741835594177,1000,-1,0.2,0.001,100,100
8,classic,cifar10,2,0.5,0,0.91,3.0494849395751955,0.19298501312732697,2000,-1,0.2,0.001,100,100
9,classic,cifar10,2,0.5,0,0.97,3.1713801431655884,0.1919078379869461,4000,-1,0.2,0.001,100,100
10,classic,cifar10,2,0.5,0,0.99,3.1386892771720887,0.18846015632152557,8000,4000,0.2,0.001,100,100
11,classic,cifar10,2,0.5,0,1.0,4.141896727085114,0.1881028115749359,16000,4000,0.2,0.001,100,100
12,classic,cifar10,2,1.0,0,0.99,0.43616370677947996,0.3094826936721802,500,-1,0.2,0.001,100,100
13,classic,cifar10,2,1.0,0,1.0,0.44214791774749757,0.29564329981803894,1000,-1,0.2,0.001,100,100
14,classic,cifar10,2,1.0,0,1.0,0.6617926192283631,0.28637510538101196,2000,-1,0.2,0.001,100,100
15,classic,cifar10,2,1.0,0,1.0,1.1225971341133119,0.2784161865711212,4000,-1,0.2,0.001,100,100
16,classic,cifar10,2,1.0,0,1.0,1.9183562588691712,0.27223601937294006,8000,4000,0.2,0.001,100,100
17,classic,cifar10,2,1.0,0,1.0,3.4175258445739747,0.2700759172439575,16000,4000,0.2,0.001,100,100
