,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Alpha,GaussianSmoothing,Nexample,Epochs,Optim,Data
0,0.02,0,0.91,2.4458470940589905,0.010253251530230044,500,-1,0.2,0.001,100,100,classic,cifar10
1,0.02,0,0.91,2.4305562210083007,0.010253251530230044,500,-1,0.2,0.001,100,100,classic,cifar10
2,0.02,0,0.99,1.8029992866516116,0.008883167058229445,1000,-1,0.2,0.001,100,100,classic,cifar10
3,0.02,0,1.0,2.154792230129242,0.007878880016505718,2000,-1,0.2,0.001,100,100,classic,cifar10
4,0.02,0,1.0,3.368313841819764,0.007033488713204861,4000,-1,0.2,0.001,100,100,classic,cifar10
5,0.02,0,1.0,5.743081712722779,0.006618398241698742,8000,4000,0.2,0.001,100,100,classic,cifar10
6,0.02,0,1.0,10.189761877059935,0.0062314989045262345,16000,4000,0.2,0.001,100,100,classic,cifar10
7,0.01,0,0.6,8.106541793346405,0.006954124197363854,500,-1,0.2,0.001,100,100,classic,cifar10
8,0.01,0,0.76,11.186959254741671,0.006328384857624768,1000,-1,0.2,0.001,100,100,classic,cifar10
9,0.01,0,0.84,14.618949058055875,0.00577809102833271,2000,-1,0.2,0.001,100,100,classic,cifar10
10,0.01,0,0.89,20.595196406841282,0.005249481182545424,4000,-1,0.2,0.001,100,100,classic,cifar10
11,0.01,0,0.92,30.73846865415573,0.004924625623971224,8000,4000,0.2,0.001,100,100,classic,cifar10
12,0.01,0,0.96,43.21315214157104,0.004712853580713272,16000,4000,0.2,0.001,100,100,classic,cifar10
13,0.005,0,0.36,12.603188986778257,0.004244656767696142,500,-1,0.2,0.001,50,100,classic,cifar10
14,0.005,0,0.4,22.02437749862671,0.0040374542586505404,1000,-1,0.2,0.001,50,100,classic,cifar10
15,0.005,0,0.5,37.621702961921685,0.0038239979185163975,2000,-1,0.2,0.001,50,100,classic,cifar10
16,0.005,0,0.56,63.89849472522736,0.003685749834403396,4000,-1,0.2,0.001,50,100,classic,cifar10
17,0.005,0,0.6,45.55170144557953,0.0034986333921551704,8000,4000,0.2,0.001,50,100,classic,cifar10
18,0.005,0,0.66,75.44140192508698,0.0034063798375427727,16000,4000,0.2,0.001,50,100,classic,cifar10
