,Optim,Data,Norm,Target,Epsilon,SuccesRate,MeanTime,NGradient,Alpha,GaussianSmoothing,Nexample,Epochs
0,classic,mnist,-1,0,0.1,0.07222222222222223,1.6435924516783817,500,0.2,0.001,,100
1,classic,mnist,-1,0,0.1,0.08333333333333333,2.735554032855564,1000,0.2,0.001,,100
2,classic,mnist,-1,0,0.1,0.09444444444444444,4.331026192506155,2000,0.2,0.001,,100
3,classic,mnist,-1,0,0.1,0.1,8.229840809769101,4000,0.2,0.001,,100
4,classic,mnist,-1,0,0.1,0.1,11.939104137155745,8000,0.2,0.001,,100
5,classic,mnist,-1,0,0.2,0.29444444444444445,1.3148921926816304,500,0.2,0.001,,100
6,classic,mnist,-1,0,0.2,0.35,2.0283685432540044,1000,0.2,0.001,,100
7,classic,mnist,-1,0,0.2,0.42777777777777776,2.911535792880588,2000,0.2,0.001,,100
8,classic,mnist,-1,0,0.2,0.4944444444444445,5.0311863462130235,4000,0.2,0.001,,100
9,classic,mnist,-1,0,0.2,0.5555555555555556,6.632287924819522,8000,0.2,0.001,,100
10,classic,mnist,-1,0,0.3,0.6388888888888888,0.7511385522948371,500,0.2,0.001,,100
11,classic,mnist,-1,0,0.3,0.7466666666666667,0.9643677250544229,1000,0.2,0.001,,100
12,classic,mnist,-1,0,0.3,0.8155555555555556,1.213526632255978,2000,0.2,0.001,,100
13,classic,mnist,-1,0,0.3,0.8511111111111112,2.0416707515716555,4000,0.2,0.001,,100
14,classic,mnist,-1,0,0.3,0.8888888888888888,2.5010352585050795,8000,0.2,0.001,,100
15,classic,mnist,-1,0,0.4,0.89,0.3416540990935432,500,0.2,0.001,,100
16,classic,mnist,-1,0,0.4,0.9411111111111112,0.4049844066301981,1000,0.2,0.001,,100
17,classic,mnist,-1,0,0.4,0.9633333333333334,0.4946360021167331,2000,0.2,0.001,,100
18,classic,mnist,-1,0,0.4,0.9711111111111111,0.8351301990614997,4000,0.2,0.001,,100
19,classic,mnist,-1,0,0.4,0.9722222222222222,1.1411791104740567,8000,0.2,0.001,,100
20,classic,mnist,-1,0,0.5,0.9744444444444444,0.17184505197736952,500,0.2,0.001,,100
21,classic,mnist,-1,0,0.5,0.9911111111111112,0.2114572935634189,1000,0.2,0.001,,100
22,classic,mnist,-1,0,0.5,0.9922222222222222,0.28382651885350546,2000,0.2,0.001,,100
23,classic,mnist,-1,0,0.5,0.9922222222222222,0.5105331614282396,4000,0.2,0.001,,100
24,classic,mnist,-1,0,0.5,0.9944444444444444,0.7000345759921603,8000,0.2,0.001,,100
