,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Alpha,GaussianSmoothing,Nexample,Epochs
0,classic,mnist,2,3.0,0,0.75,0.2728622078895569,1.5252081155776978,500,-1,0.2,0.001,100,100
1,classic,mnist,2,3.0,0,0.87,0.2674370098114014,1.553225040435791,1000,-1,0.2,0.001,100,100
2,classic,mnist,2,3.0,0,0.95,0.2689137291908264,1.5594629049301147,2000,-1,0.2,0.001,100,100
3,classic,mnist,2,3.0,0,0.97,0.3867249536514282,1.5475361347198486,4000,-1,0.2,0.001,100,100
4,classic,mnist,2,3.0,0,0.98,0.5520383429527282,1.532811164855957,8000,4000,0.2,0.001,100,100
5,classic,mnist,2,3.0,0,0.98,0.9432269024848938,1.5250136852264404,16000,4000,0.2,0.001,100,100
6,classic,mnist,2,2.0,0,0.44,0.4905862021446228,1.1414988040924072,500,-1,0.2,0.001,100,100
7,classic,mnist,2,2.0,0,0.59,0.6252114415168762,1.2137974500656128,1000,-1,0.2,0.001,100,100
8,classic,mnist,2,2.0,0,0.65,0.9523495936393738,1.2528743743896484,2000,-1,0.2,0.001,100,100
9,classic,mnist,2,2.0,0,0.71,1.5740401434898377,1.2848260402679443,4000,-1,0.2,0.001,100,100
10,classic,mnist,2,2.0,0,0.75,2.3432799220085143,1.2999707460403442,8000,4000,0.2,0.001,100,100
11,classic,mnist,2,2.0,0,0.75,4.169512982368469,1.3068681955337524,16000,4000,0.2,0.001,100,100
