,Optim,Data,Norm,Target,Epsilon,SuccesRate,MeanTime,NGradient,Alpha,GaussianSmoothing,Nexample,Epochs
0,classic,mnist,-1,0,0.05,0.11,1.5759092712402345,500,0.2,0.001,,100
1,classic,mnist,-1,0,0.05,0.13,2.5831773567199705,1000,0.2,0.001,,100
2,classic,mnist,-1,0,0.05,0.15,4.014399230480194,2000,0.2,0.001,,100
3,classic,mnist,-1,0,0.05,0.17,7.5629097056388845,4000,0.2,0.001,,100
4,classic,mnist,-1,0,0.05,0.18,10.873395402431488,8000,0.2,0.001,,100
5,classic,mnist,-1,0,0.05,0.19,18.288774843215943,16000,0.2,0.001,,100
6,classic,mnist,-1,0,0.1,0.33,1.2312,500,0.2,0.001,,100
7,classic,mnist,-1,0,0.1,0.4,1.856452949047089,1000,0.2,0.001,,100
8,classic,mnist,-1,0,0.1,0.43,2.8235237836837768,2000,0.2,0.001,,100
9,classic,mnist,-1,0,0.1,0.48,4.95026829957962,4000,0.2,0.001,,100
10,classic,mnist,-1,0,0.1,0.51,6.837988302707673,8000,0.2,0.001,,100
11,classic,mnist,-1,0,0.1,0.53,11.222369093894956,16000,0.2,0.001,,100
12,classic,mnist,-1,0,0.15,0.58,0.8307,500,0.2,0.001,,100
13,classic,mnist,-1,0,0.15,0.61,1.2609720420837405,1000,0.2,0.001,,100
14,classic,mnist,-1,0,0.15,0.69,1.715459156036377,2000,0.2,0.001,,100
15,classic,mnist,-1,0,0.15,0.74,2.78975257396698,4000,0.2,0.001,,100
16,classic,mnist,-1,0,0.15,0.77,3.6314045047760017,8000,0.2,0.001,,100
17,classic,mnist,-1,0,0.15,0.82,5.357758800983429,16000,0.2,0.001,,100
18,classic,mnist,-1,0,0.2,0.78,0.4813677334785462,500,0.2,0.001,,100
19,classic,mnist,-1,0,0.2,0.83,0.6481071233749389,1000,0.2,0.001,,100
20,classic,mnist,-1,0,0.2,0.9,0.7575205779075622,2000,0.2,0.001,,100
21,classic,mnist,-1,0,0.2,0.97,0.8602864360809326,4000,0.2,0.001,,100
22,classic,mnist,-1,0,0.2,0.97,1.0923321175575256,8000,0.2,0.001,,100
23,classic,mnist,-1,0,0.2,0.97,1.9188209390640256,16000,0.2,0.001,,100
24,classic,mnist,-1,0,0.25,0.94,0.20988526105880734,500,0.2,0.001,,100
25,classic,mnist,-1,0,0.25,0.98,0.20936399698257446,1000,0.2,0.001,,100
26,classic,mnist,-1,0,0.25,0.99,0.2610462188720703,2000,0.2,0.001,,100
27,classic,mnist,-1,0,0.25,1.0,0.3909935140609741,4000,0.2,0.001,,100
28,classic,mnist,-1,0,0.25,1.0,0.5133972239494323,8000,0.2,0.001,,100
29,classic,mnist,-1,0,0.25,1.0,0.8266563844680787,16000,0.2,0.001,,100
