,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.9,0.9731943225860595,2000,0.1,0.001
1,0.94,1.1461909484863282,3000,0.1,0.001
2,0.82,0.7529692459106445,1000,0.1,0.01
3,0.89,1.0161474394798278,2000,0.1,0.01
4,0.92,1.2128820276260377,3000,0.1,0.01
5,0.83,0.5991667151451111,1000,0.2,0.001
6,0.9,0.7653188276290893,2000,0.2,0.001
7,0.95,0.7563843941688537,3000,0.2,0.001
8,0.83,0.6452014684677124,1000,0.2,0.01
9,0.89,0.8069660449028015,2000,0.2,0.01
10,0.93,0.8409196782112122,3000,0.2,0.01
11,0.83,0.5947543501853942,1000,0.4,0.001
12,0.88,0.7218222260475159,2000,0.4,0.001
13,0.94,0.6667999744415283,3000,0.4,0.001
14,0.84,0.49901747703552246,1000,0.4,0.01
15,0.89,0.6635972809791565,2000,0.4,0.01
16,0.93,0.6599656772613526,3000,0.4,0.01
17,0.83,0.653904914855957,1000,0.2,0.001
18,0.61,1.1115140795707703,500,0.02,0.001
19,0.71,1.6867294692993164,1000,0.02,0.001
20,0.79,2.443116910457611,2000,0.02,0.001
21,0.82,4.359091184139252,4000,0.02,0.001
22,0.83,6.048725030422211,8000,0.02,0.001
23,0.86,9.927354412078857,16000,0.02,0.001
24,0.78,0.48136773347854617,500,0.2,0.001
25,0.83,0.6481071233749389,1000,0.2,0.001
26,0.9,0.7575205779075622,2000,0.2,0.001
27,0.97,0.8602864360809326,4000,0.2,0.001
28,0.97,1.0923321175575256,8000,0.2,0.001
29,0.97,1.9188209390640258,16000,0.2,0.001
