,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Mu,Gamma,GaussianSmoothing,Nexample,Epochs
0,0.01,0,0.55,3.4448342084884644,0.009000018239021301,500,-1,0.0025,2,0.001,20,100
1,0.01,0,0.65,5.442239987850189,0.009000018239021301,1000,-1,0.0025,2,0.001,20,100
2,0.01,0,0.7,9.459804975986481,0.009000018239021301,2000,-1,0.0025,2,0.001,20,100
3,0.01,0,0.85,9.83607189655304,0.009000018239021301,4000,-1,0.0025,2,0.001,20,100
4,0.01,0,0.85,17.243490731716157,0.009000018239021301,8000,4000,0.0025,2,0.001,20,100
5,0.015,0,0.7,2.9952542304992678,0.013500014320015907,500,-1,0.0025,2,0.001,20,100
6,0.015,0,0.85,2.862197160720825,0.013500014320015907,1000,-1,0.0025,2,0.001,20,100
7,0.015,0,0.9,3.9194252133369445,0.013500014320015907,2000,-1,0.0025,2,0.001,20,100
8,0.015,0,0.9,6.532582306861878,0.013500014320015907,4000,-1,0.0025,2,0.001,20,100
9,0.015,0,1.0,4.915113711357117,0.013500014320015907,8000,4000,0.0025,2,0.001,20,100
10,0.015,0,1.0,5.315535020828247,0.013500014320015907,16000,4000,0.0025,2,0.001,20,100
11,0.02,0,0.8,1.7182397842407227,0.018000010401010513,500,-1,0.0025,2,0.001,20,100
12,0.02,0,0.9,1.7229022264480591,0.018000010401010513,1000,-1,0.0025,2,0.001,20,100
13,0.02,0,0.95,2.9130220293998716,0.018000010401010513,2000,-1,0.0025,2,0.001,20,100
14,0.02,0,1.0,0.7410990238189697,0.018000010401010513,4000,-1,0.0025,2,0.001,20,100
15,0.02,0,1.0,1.1686998724937439,0.018000010401010513,8000,4000,0.0025,2,0.001,20,100
16,0.02,0,1.0,2.1925541877746584,0.018000010401010513,16000,4000,0.0025,2,0.001,20,100
