,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Mu,Gamma,GaussianSmoothing,Nexample,Epochs
0,inexact,mnist,2,4.0,0,0.97,0.12344995021820068,3.1489152908325195,500,-1,0.0025,2,0.001,100,100
1,inexact,mnist,2,4.0,0,0.99,0.08889971494674682,3.1934196949005127,1000,-1,0.0025,2,0.001,100,100
2,inexact,mnist,2,4.0,0,0.99,0.1824616527557373,3.224173069000244,2000,-1,0.0025,2,0.001,100,100
3,inexact,mnist,2,4.0,0,0.99,0.21448996305465698,3.2616117000579834,4000,-1,0.0025,2,0.001,100,100
4,inexact,mnist,2,4.0,0,1.0,0.19701691150665282,3.2844042778015137,8000,4000,0.0025,2,0.001,100,100
5,inexact,mnist,2,4.0,0,1.0,0.2907591533660889,3.32133150100708,16000,4000,0.0025,2,0.001,100,100
6,inexact,mnist,2,4.0,0,1.0,0.4752813839912415,3.328270435333252,32000,4000,0.0025,2,0.001,100,100
7,inexact,mnist,2,4.0,0,1.0,0.948899793624878,3.341651678085327,64000,4000,0.0025,2,0.001,100,100
8,inexact,mnist,2,3.0,0,0.78,0.5019771838188172,2.392320156097412,500,-1,0.0025,2,0.001,100,100
9,inexact,mnist,2,3.0,0,0.89,0.4807493376731873,2.435978412628174,1000,-1,0.0025,2,0.001,100,100
10,inexact,mnist,2,3.0,0,0.95,0.5439910793304443,2.467494487762451,2000,-1,0.0025,2,0.001,100,100
11,inexact,mnist,2,3.0,0,0.97,0.4696527910232544,2.5010182857513428,4000,-1,0.0025,2,0.001,100,100
12,inexact,mnist,2,3.0,0,0.97,0.6082076215744019,2.5120606422424316,8000,4000,0.0025,2,0.001,100,100
13,inexact,mnist,2,3.0,0,0.98,0.8803283524513245,2.533743143081665,16000,4000,0.0025,2,0.001,100,100
14,inexact,mnist,2,3.0,0,0.98,1.4280249381065369,2.546459436416626,32000,4000,0.0025,2,0.001,100,100
15,inexact,mnist,2,3.0,0,0.98,2.977420897483826,2.559600591659546,64000,4000,0.0025,2,0.001,100,100
16,inexact,mnist,2,2.0,0,0.46,1.032702262401581,1.6120777130126953,500,-1,0.0025,2,0.001,100,100
17,inexact,mnist,2,2.0,0,0.61,1.2565856647491456,1.6456716060638428,1000,-1,0.0025,2,0.001,100,100
18,inexact,mnist,2,2.0,0,0.66,2.0268866419792175,1.676142930984497,2000,-1,0.0025,2,0.001,100,100
19,inexact,mnist,2,2.0,0,0.74,2.7883915185928343,1.6979511976242065,4000,-1,0.0025,2,0.001,100,100
20,inexact,mnist,2,2.0,0,0.76,3.507823281288147,1.7174077033996582,8000,4000,0.0025,2,0.001,100,100
21,inexact,mnist,2,2.0,0,0.78,5.712835712432861,1.7339080572128296,16000,4000,0.0025,2,0.001,100,100
22,inexact,mnist,2,2.0,0,0.78,9.962482209205627,1.7406944036483765,32000,4000,0.0025,2,0.001,100,100
23,inexact,mnist,2,2.0,0,0.79,18.286227946281432,1.7493864297866821,64000,4000,0.0025,2,0.001,100,100
24,inexact,mnist,2,2.0,0,0.48,0.6147288537025452,1.6107203960418701,500,-1,0.0025,2,0.001,100,100
25,inexact,mnist,2,2.0,0,0.61,0.749680199623108,1.645409345626831,1000,-1,0.0025,2,0.001,100,100
26,inexact,mnist,2,2.0,0,0.64,1.16958060503006,1.6759004592895508,2000,-1,0.0025,2,0.001,100,100
27,inexact,mnist,2,2.0,0,0.72,1.6853478407859803,1.6987950801849365,4000,-1,0.0025,2,0.001,100,100
28,inexact,mnist,2,2.0,0,0.76,2.2361273908615114,1.7176061868667603,8000,4000,0.0025,2,0.001,100,100
29,inexact,mnist,2,2.0,0,0.77,3.66276921749115,1.7332154512405396,16000,4000,0.0025,2,0.001,100,100
30,inexact,mnist,2,3.0,0,0.78,0.26394315958023074,2.3950483798980713,500,-1,0.0025,2,0.001,100,100
31,inexact,mnist,2,3.0,0,0.87,0.26533324480056764,2.4329733848571777,1000,-1,0.0025,2,0.001,100,100
32,inexact,mnist,2,3.0,0,0.92,0.28883943080902097,2.4636611938476562,2000,-1,0.0025,2,0.001,100,100
33,inexact,mnist,2,3.0,0,0.97,0.258614559173584,2.4987010955810547,4000,-1,0.0025,2,0.001,100,100
34,inexact,mnist,2,3.0,0,0.97,0.3740110206604004,2.512042760848999,8000,4000,0.0025,2,0.001,100,100
35,inexact,mnist,2,3.0,0,0.98,0.5529115891456604,2.533602714538574,16000,4000,0.0025,2,0.001,100,100
