,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Gamma,Mu,GaussianSmoothing,Nexample,Epochs
0,inexact,cifar10,2,1.0,0,0.95,0.5373821377754211,0.9873550534248352,500,-1,2.0,0.0025,0.001,20,100
1,inexact,cifar10,2,1.0,0,1.0,0.17701308727264403,0.9883396029472351,1000,-1,2.0,0.0025,0.001,20,100
2,inexact,cifar10,2,1.0,0,1.0,0.3477735757827759,0.9891703724861145,2000,-1,2.0,0.0025,0.001,20,100
3,inexact,cifar10,2,1.0,0,1.0,0.6327254176139832,0.9897294044494629,4000,-1,2.0,0.0025,0.001,20,100
4,inexact,cifar10,2,1.0,0,1.0,1.1511186838150025,0.9903801679611206,8000,4000,2.0,0.0025,0.001,20,100
5,inexact,cifar10,2,0.5,0,0.75,5.245868277549744,0.49540454149246216,500,-1,2.0,0.0025,0.001,20,100
6,inexact,cifar10,2,0.5,0,0.95,2.9486104011535645,0.49597200751304626,1000,-1,2.0,0.0025,0.001,20,100
7,inexact,cifar10,2,0.5,0,0.95,5.994771075248718,0.4963650703430176,2000,-1,2.0,0.0025,0.001,20,100
8,inexact,cifar10,2,0.5,0,0.95,8.362343227863311,0.49687689542770386,4000,-1,2.0,0.0025,0.001,20,100
9,inexact,cifar10,2,0.5,0,1.0,3.075988793373108,0.4974075257778168,8000,4000,2.0,0.0025,0.001,20,100
10,inexact,cifar10,2,0.5,0,1.0,6.956351864337921,0.49756374955177307,16000,4000,2.0,0.0025,0.001,20,100
