,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Gamma,Mu,GaussianSmoothing,Nexample,Epochs
0,inexact,mnist,2,2.5,1,0.2,1.4870947851075067,2.0512986183166504,500,-1,4.0,1e-05,0.001,20,100
1,inexact,mnist,2,2.5,1,0.2833333333333333,2.252893703513675,2.109975814819336,1000,-1,4.0,1e-05,0.001,20,100
2,inexact,mnist,2,2.5,1,0.38333333333333336,3.102124985059102,2.16184663772583,2000,-1,4.0,1e-05,0.001,20,100
3,inexact,mnist,2,2.5,1,0.4722222222222222,5.241858315467835,2.20300555229187,4000,-1,4.0,1e-05,0.001,20,100
4,inexact,mnist,2,2.5,1,0.5111111111111111,6.9086177229881285,2.2144415378570557,8000,4000,4.0,1e-05,0.001,20,100
5,inexact,mnist,2,2.5,1,0.5222222222222223,11.408101401064132,2.236575126647949,16000,4000,4.0,1e-05,0.001,20,100
6,inexact,mnist,2,4.0,1,0.5444444444444444,0.9078474932246738,3.245119333267212,500,-1,4.0,1e-05,0.001,20,100
7,inexact,mnist,2,4.0,1,0.6833333333333333,1.0800057133038838,3.313039779663086,1000,-1,4.0,1e-05,0.001,20,100
8,inexact,mnist,2,4.0,1,0.7722222222222223,1.3673655615912543,3.37273907661438,2000,-1,4.0,1e-05,0.001,20,100
9,inexact,mnist,2,4.0,1,0.7944444444444444,2.210884118080139,3.414196014404297,4000,-1,4.0,1e-05,0.001,20,100
10,inexact,mnist,2,4.0,1,0.8222222222222222,2.9150691111882527,3.4130194187164307,8000,4000,4.0,1e-05,0.001,20,100
11,inexact,mnist,2,4.0,1,0.8388888888888889,4.747048791249593,3.448652505874634,16000,4000,4.0,1e-05,0.001,20,100
