,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Mu,Gamma,GaussianSmoothing,Nexample,Epochs
0,inexact,mnist,-1,0.2,0,0.79,0.44109248876571655,0.19000005722045898,500,-1,1e-05,4.0,0.001,100,100
1,inexact,mnist,-1,0.2,0,0.87,0.4681323313713074,0.19000005722045898,1000,-1,1e-05,4.0,0.001,100,100
2,inexact,mnist,-1,0.2,0,0.89,0.6951652407646179,0.19000005722045898,2000,-1,1e-05,4.0,0.001,100,100
3,inexact,mnist,-1,0.2,0,0.9,1.064511971473694,0.19000005722045898,4000,-1,1e-05,4.0,0.001,100,100
4,inexact,mnist,-1,0.2,0,0.94,1.106361253261566,0.19000005722045898,8000,4000,1e-05,4.0,0.001,100,100
5,inexact,mnist,-1,0.2,0,0.96,1.255964114665985,0.19000005722045898,16000,4000,1e-05,4.0,0.001,100,100
6,inexact,mnist,-1,0.25,0,0.98,0.10256475687026978,0.23749999701976776,1000,-1,1e-05,4.0,0.001,100,100
7,inexact,mnist,-1,0.25,0,0.96,0.13220117330551148,0.23749999701976776,500,-1,1e-05,4.0,0.001,100,100
8,inexact,mnist,-1,0.25,0,0.99,0.20233846187591553,0.23749999701976776,4000,-1,1e-05,4.0,0.001,100,100
9,inexact,mnist,-1,0.25,0,0.99,0.12413492679595947,0.23749999701976776,2000,-1,1e-05,4.0,0.001,100,100
10,inexact,mnist,-1,0.25,0,0.99,0.2718496584892273,0.23749999701976776,8000,4000,1e-05,4.0,0.001,100,100
11,inexact,mnist,-1,0.25,0,1.0,0.23723855257034301,0.23749999701976776,16000,4000,1e-05,4.0,0.001,100,100
12,inexact,mnist,-1,0.15,0,0.57,0.8185240173339844,0.14250004291534424,500,-1,1e-05,4.0,0.001,100,100
13,inexact,mnist,-1,0.15,0,0.6,1.2139607048034669,0.14250004291534424,1000,-1,1e-05,4.0,0.001,100,100
14,inexact,mnist,-1,0.15,0,0.64,1.7390187096595764,0.14250004291534424,2000,-1,1e-05,4.0,0.001,100,100
15,inexact,mnist,-1,0.15,0,0.66,3.061924316883087,0.14250004291534424,4000,-1,1e-05,4.0,0.001,100,100
16,inexact,mnist,-1,0.15,0,0.69,4.139329335689545,0.14250004291534424,8000,4000,1e-05,4.0,0.001,100,100
17,inexact,mnist,-1,0.15,0,0.77,5.883337488174439,0.14250004291534424,16000,4000,1e-05,4.0,0.001,100,100
18,inexact,mnist,-1,0.1,0,0.31,1.2315069723129273,0.09500003606081009,500,-1,1e-05,4.0,0.001,100,100
19,inexact,mnist,-1,0.1,0,0.38,1.8472435307502746,0.09500003606081009,1000,-1,1e-05,4.0,0.001,100,100
20,inexact,mnist,-1,0.1,0,0.4,2.7975333523750305,0.09500003606081009,2000,-1,1e-05,4.0,0.001,100,100
21,inexact,mnist,-1,0.1,0,0.4,5.204816262722016,0.09500003606081009,4000,-1,1e-05,4.0,0.001,100,100
22,inexact,mnist,-1,0.1,0,0.43,7.536586308479309,0.09500003606081009,8000,4000,1e-05,4.0,0.001,100,100
23,inexact,mnist,-1,0.1,0,0.47,11.946388905048371,0.09500003606081009,16000,4000,1e-05,4.0,0.001,100,100
24,inexact,mnist,-1,0.5,0,1.0,0.08783594608306884,0.4749999940395355,4000,-1,1e-05,4.0,0.001,100,100
25,inexact,mnist,-1,0.5,0,1.0,0.05266533136367798,0.4749999940395355,2000,-1,1e-05,4.0,0.001,100,100
26,inexact,mnist,-1,0.5,0,1.0,0.030610413551330568,0.4749999940395355,1000,-1,1e-05,4.0,0.001,100,100
27,inexact,mnist,-1,0.5,0,1.0,0.018477938175201415,0.4749999940395355,500,-1,1e-05,4.0,0.001,100,100
28,inexact,mnist,-1,0.5,0,1.0,0.12786215543746948,0.4749999940395355,8000,4000,1e-05,4.0,0.001,100,100
29,inexact,mnist,-1,0.5,0,1.0,0.2215496063232422,0.4749999940395355,16000,4000,1e-05,4.0,0.001,100,100
30,inexact,mnist,-1,0.05,0,0.11,1.5741643977165223,0.047500018030405045,500,-1,1e-05,4.0,0.001,100,100
31,inexact,mnist,-1,0.05,0,0.11,2.5734570908546446,0.047500018030405045,1000,-1,1e-05,4.0,0.001,100,100
32,inexact,mnist,-1,0.05,0,0.14,3.957667968273163,0.047500018030405045,2000,-1,1e-05,4.0,0.001,100,100
33,inexact,mnist,-1,0.05,0,0.15,7.157835774421692,0.047500018030405045,4000,-1,1e-05,4.0,0.001,100,100
34,inexact,mnist,-1,0.05,0,0.15,10.808912539482117,0.047500018030405045,8000,4000,1e-05,4.0,0.001,100,100
35,inexact,mnist,-1,0.05,0,0.17,18.344369449615478,0.047500018030405045,16000,4000,1e-05,4.0,0.001,100,100
