Optim,Data,Norm,Target,SuccesRate,MeanTime,MeanEpsilon,c,LearningRate,NGradients,Solver,BatchSize,Epochs
zoo,cifar10,2,1,1.0,5.520929582913717,0.7517696619033813,0.3,0.01,32,adam,-1,5000
zoo,cifar10,2,1,1.0,4.889701284302605,0.7610235214233398,0.3,0.01,64,adam,-1,5000
zoo,cifar10,2,1,1.0,5.81275241639879,0.7682381868362427,0.3,0.01,128,adam,-1,5000
zoo,cifar10,2,1,1.0,7.388295923338996,0.7751284837722778,0.3,0.01,256,adam,-1,5000
zoo,cifar10,2,1,1.0,5.4484879732131954,0.7484230995178223,0.5,0.01,32,adam,-1,5000
zoo,cifar10,2,1,1.0,4.976404783460829,0.7699657082557678,0.5,0.01,64,adam,-1,5000
zoo,cifar10,2,1,1.0,5.680139822430081,0.7613030076026917,0.5,0.01,128,adam,-1,5000
zoo,cifar10,2,1,1.0,7.376643453703986,0.774988055229187,0.5,0.01,256,adam,-1,5000
zoo,cifar10,2,1,1.0,5.583140050040351,0.7700936794281006,0.7,0.01,32,adam,-1,5000
zoo,cifar10,2,1,1.0,4.941315208541022,0.7782890796661377,0.7,0.01,64,adam,-1,5000
zoo,cifar10,2,1,1.0,5.721011477046543,0.7776340842247009,0.7,0.01,128,adam,-1,5000
zoo,cifar10,2,1,1.0,7.303002174695333,0.776079535484314,0.7,0.01,256,adam,-1,5000
zoo,cifar10,2,1,1.0,5.600905211766561,0.7739191651344299,0.9,0.01,32,adam,-1,5000
zoo,cifar10,2,1,1.0,4.77892628510793,0.7678585052490234,0.9,0.01,64,adam,-1,5000
zoo,cifar10,2,1,1.0,5.7266725142796835,0.7803114056587219,0.9,0.01,128,adam,-1,5000
zoo,cifar10,2,1,1.0,7.358605122566223,0.7932453751564026,0.9,0.01,256,adam,-1,5000
zoo,cifar10,2,1,1.0,2.2857680744595,1.700912356376648,0.3,0.05,32,adam,-1,5000
zoo,cifar10,2,1,1.0,2.158015916082594,1.6972978115081787,0.3,0.05,64,adam,-1,5000
zoo,cifar10,2,1,1.0,3.327053745587667,1.769545316696167,0.3,0.05,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.80516877969106,1.9594532251358032,0.3,0.05,256,adam,-1,5000
zoo,cifar10,2,1,1.0,2.0351719167497424,1.6727502346038818,0.5,0.05,32,adam,-1,5000
zoo,cifar10,2,1,1.0,2.053378105163574,1.7386407852172852,0.5,0.05,64,adam,-1,5000
zoo,cifar10,2,1,1.0,2.939776333173116,1.7521647214889526,0.5,0.05,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.760214222802056,1.938684344291687,0.5,0.05,256,adam,-1,5000
zoo,cifar10,2,1,1.0,1.9986857334772745,1.716274619102478,0.7,0.05,32,adam,-1,5000
zoo,cifar10,2,1,1.0,2.0470821062723794,1.7496143579483032,0.7,0.05,64,adam,-1,5000
zoo,cifar10,2,1,1.0,2.9427757872475517,1.7801553010940552,0.7,0.05,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.7923926565382216,1.9377161264419556,0.7,0.05,256,adam,-1,5000
zoo,cifar10,2,1,1.0,1.8822390927208794,1.6711540222167969,0.9,0.05,32,adam,-1,5000
zoo,cifar10,2,1,1.0,2.0419678158230252,1.7515637874603271,0.9,0.05,64,adam,-1,5000
zoo,cifar10,2,1,1.0,2.984467257393731,1.8111189603805542,0.9,0.05,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.818748320473565,1.947662353515625,0.9,0.05,256,adam,-1,5000
zoo,cifar10,2,1,1.0,3.074962356355455,2.5804646015167236,0.3,0.1,32,adam,-1,5000
zoo,cifar10,2,1,1.0,2.3715764655007257,2.6928553581237793,0.3,0.1,64,adam,-1,5000
zoo,cifar10,2,1,1.0,4.30449128680759,2.8342161178588867,0.3,0.1,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.8551123195224335,3.4454550743103027,0.3,0.1,256,adam,-1,5000
zoo,cifar10,2,1,1.0,1.6180965344111125,2.622812271118164,0.5,0.1,32,adam,-1,5000
zoo,cifar10,2,1,1.0,1.7354231834411622,2.797926187515259,0.5,0.1,64,adam,-1,5000
zoo,cifar10,2,1,1.0,2.625046224064297,2.891749382019043,0.5,0.1,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.482780861854553,3.409851312637329,0.5,0.1,256,adam,-1,5000
zoo,cifar10,2,1,1.0,1.5433846314748128,2.534893035888672,0.7,0.1,32,adam,-1,5000
zoo,cifar10,2,1,1.0,1.6575109322865804,2.7220571041107178,0.7,0.1,64,adam,-1,5000
zoo,cifar10,2,1,1.0,2.511498639318678,2.87434458732605,0.7,0.1,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.433818912506103,3.4327547550201416,0.7,0.1,256,adam,-1,5000
zoo,cifar10,2,1,1.0,1.5421096218956842,2.597616195678711,0.9,0.1,32,adam,-1,5000
zoo,cifar10,2,1,1.0,1.6197388331095377,2.6969292163848877,0.9,0.1,64,adam,-1,5000
zoo,cifar10,2,1,1.0,2.517941954400804,2.882326602935791,0.9,0.1,128,adam,-1,5000
zoo,cifar10,2,1,1.0,4.474858702553643,3.4418551921844482,0.9,0.1,256,adam,-1,5000
