Optim,Data,Norm,Target,SuccesRate,MeanTime,MeanEpsilon,c,LearningRate,NGradients,Solver,BatchSize,Epochs
zoo,cifar10,2,0,1.0,16.117334938049318,0.3167445659637451,0.3,0.01,1,adam,-1,10000
zoo,cifar10,2,0,1.0,23.600938606262208,0.32558000087738037,0.3,0.01,8,adam,-1,10000
zoo,cifar10,2,0,1.0,1.5618473291397095,0.3218400180339813,0.3,0.01,32,adam,-1,10000
zoo,cifar10,2,0,1.0,1.6526007413864137,0.3284623920917511,0.3,0.01,64,adam,-1,10000
zoo,cifar10,2,0,1.0,2.504493522644043,0.32868149876594543,0.3,0.01,128,adam,-1,10000
zoo,cifar10,2,0,1.0,4.1783565282821655,0.31532925367355347,0.3,0.01,256,adam,-1,10000
zoo,cifar10,2,0,1.0,16.40841438770294,0.32156598567962646,0.5,0.01,1,adam,-1,10000
zoo,cifar10,2,0,1.0,23.185895228385924,0.3241543173789978,0.5,0.01,8,adam,-1,10000
zoo,cifar10,2,0,1.0,1.6104228258132935,0.3349606394767761,0.5,0.01,32,adam,-1,10000
zoo,cifar10,2,0,1.0,1.6534124612808228,0.3303271532058716,0.5,0.01,64,adam,-1,10000
zoo,cifar10,2,0,1.0,2.681721496582031,0.30694615840911865,0.5,0.01,128,adam,-1,10000
zoo,cifar10,2,0,1.0,4.211963391304016,0.32282811403274536,0.5,0.01,256,adam,-1,10000
zoo,cifar10,2,0,1.0,17.575798535346983,0.33387133479118347,0.7,0.01,1,adam,-1,10000
zoo,cifar10,2,0,1.0,22.734203267097474,0.3226411044597626,0.7,0.01,8,adam,-1,10000
zoo,cifar10,2,0,1.0,1.5959182262420655,0.32765138149261475,0.7,0.01,32,adam,-1,10000
zoo,cifar10,2,0,1.0,1.6499082803726197,0.3335970640182495,0.7,0.01,64,adam,-1,10000
zoo,cifar10,2,0,1.0,2.516303038597107,0.3372535705566406,0.7,0.01,128,adam,-1,10000
zoo,cifar10,2,0,1.0,4.0585857629776,0.30876442790031433,0.7,0.01,256,adam,-1,10000
