Optim,Data,Norm,Target,SuccesRate,MeanTime,MeanEpsilon,c,LearningRate,NGradients,Solver,BatchSize,Epochs
zoo,mnist,2,1,0.6222222222222222,19.726822935210333,1.6174479722976685,0.3,0.01,32,adam,-1,5000
zoo,mnist,2,1,0.6444444444444445,19.94056418736776,1.6062145233154297,0.3,0.01,64,adam,-1,5000
zoo,mnist,2,1,0.6222222222222222,28.736597930060494,1.599075436592102,0.3,0.01,128,adam,-1,5000
zoo,mnist,2,1,0.6333333333333333,48.35747989283668,1.602980375289917,0.3,0.01,256,adam,-1,5000
zoo,mnist,2,1,0.8888888888888888,6.595299437310961,2.2672343254089355,0.5,0.01,32,adam,-1,5000
zoo,mnist,2,1,0.9111111111111111,5.204328963491652,2.272876739501953,0.5,0.01,64,adam,-1,5000
zoo,mnist,2,1,0.9111111111111111,5.153995023833381,2.243156671524048,0.5,0.01,128,adam,-1,5000
zoo,mnist,2,1,0.9111111111111111,6.949165924390157,2.2151567935943604,0.5,0.01,256,adam,-1,5000
zoo,mnist,2,1,0.9666666666666667,4.6321919123331705,2.49916410446167,0.7,0.01,32,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,2.7825960927539404,2.504467487335205,0.7,0.01,64,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,2.191767350832621,2.483454465866089,0.7,0.01,128,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,2.3673791249593097,2.4062390327453613,0.7,0.01,256,adam,-1,5000
zoo,mnist,2,1,1.0,3.7228538354237872,2.6355338096618652,0.9,0.01,32,adam,-1,5000
zoo,mnist,2,1,1.0,2.173223148451911,2.6330699920654297,0.9,0.01,64,adam,-1,5000
zoo,mnist,2,1,1.0,1.5337046729193793,2.615696430206299,0.9,0.01,128,adam,-1,5000
zoo,mnist,2,1,1.0,1.4917932748794556,2.5396363735198975,0.9,0.01,256,adam,-1,5000
zoo,mnist,2,1,0.7111111111111111,8.63895521958669,1.883155107498169,0.3,0.05,32,adam,-1,5000
zoo,mnist,2,1,0.7222222222222222,9.308567643165588,1.8809328079223633,0.3,0.05,64,adam,-1,5000
zoo,mnist,2,1,0.7333333333333333,11.207132625579835,1.903003454208374,0.3,0.05,128,adam,-1,5000
zoo,mnist,2,1,0.7555555555555555,15.056621736950344,1.9354665279388428,0.3,0.05,256,adam,-1,5000
zoo,mnist,2,1,0.9555555555555556,2.6719333781136405,2.466745138168335,0.5,0.05,32,adam,-1,5000
zoo,mnist,2,1,0.9777777777777777,2.055559261639913,2.4670727252960205,0.5,0.05,64,adam,-1,5000
zoo,mnist,2,1,0.9666666666666667,2.1163380093044704,2.4422335624694824,0.5,0.05,128,adam,-1,5000
zoo,mnist,2,1,0.9666666666666667,2.8619964096281265,2.4292399883270264,0.5,0.05,256,adam,-1,5000
zoo,mnist,2,1,1.0,1.1930861552556355,2.704123020172119,0.7,0.05,32,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,1.1503431902991401,2.669206142425537,0.7,0.05,64,adam,-1,5000
zoo,mnist,2,1,1.0,0.8804211378097534,2.6105704307556152,0.7,0.05,128,adam,-1,5000
zoo,mnist,2,1,1.0,0.6504148006439209,2.579601287841797,0.7,0.05,256,adam,-1,5000
zoo,mnist,2,1,1.0,1.0317418151431614,2.8869261741638184,0.9,0.05,32,adam,-1,5000
zoo,mnist,2,1,1.0,0.7079401228162977,2.8563313484191895,0.9,0.05,64,adam,-1,5000
zoo,mnist,2,1,1.0,0.6904632568359375,2.6970372200012207,0.9,0.05,128,adam,-1,5000
zoo,mnist,2,1,1.0,0.6568133433659872,2.644334316253662,0.9,0.05,256,adam,-1,5000
zoo,mnist,2,1,0.7888888888888889,6.372765096028646,2.2322700023651123,0.3,0.1,32,adam,-1,5000
zoo,mnist,2,1,0.8,6.734216827816433,2.2577598094940186,0.3,0.1,64,adam,-1,5000
zoo,mnist,2,1,0.8111111111111111,7.76094847255283,2.239567756652832,0.3,0.1,128,adam,-1,5000
zoo,mnist,2,1,0.8,12.659759831428527,2.257843255996704,0.3,0.1,256,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,1.5605045954386394,2.711007595062256,0.5,0.1,32,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,1.026969141430325,2.714470624923706,0.5,0.1,64,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,0.9943194574779934,2.716708183288574,0.5,0.1,128,adam,-1,5000
zoo,mnist,2,1,0.9888888888888889,1.2779584036933052,2.6861069202423096,0.5,0.1,256,adam,-1,5000
zoo,mnist,2,1,1.0,0.9866973532570733,2.879141330718994,0.7,0.1,32,adam,-1,5000
zoo,mnist,2,1,1.0,0.6307944032880995,2.888559341430664,0.7,0.1,64,adam,-1,5000
zoo,mnist,2,1,1.0,0.5250950733820597,2.8386638164520264,0.7,0.1,128,adam,-1,5000
zoo,mnist,2,1,1.0,0.4849199056625366,2.8296751976013184,0.7,0.1,256,adam,-1,5000
zoo,mnist,2,1,1.0,1.0545396539900038,2.9971659183502197,0.9,0.1,32,adam,-1,5000
zoo,mnist,2,1,1.0,0.6448517243067423,2.962538003921509,0.9,0.1,64,adam,-1,5000
zoo,mnist,2,1,1.0,0.5092667977015177,2.9121835231781006,0.9,0.1,128,adam,-1,5000
zoo,mnist,2,1,1.0,0.5313537412219578,2.8846168518066406,0.9,0.1,256,adam,-1,5000
