Optim,Data,Norm,Target,SuccesRate,MeanTime,MeanEpsilon,c,LearningRate,NGradients,Solver,BatchSize,Epochs
zoo,mnist,2,0,0.4,78.41794548034667,0.5442172288894653,0.3,0.01,1,adam,-1,10000
zoo,mnist,2,0,0.6,45.08337318897247,0.7687014937400818,0.3,0.01,8,adam,-1,10000
zoo,mnist,2,0,0.6,44.23588063716888,0.7947310209274292,0.3,0.01,32,adam,-1,10000
zoo,mnist,2,0,0.6,48.78701510429382,0.6985201239585876,0.3,0.01,64,adam,-1,10000
zoo,mnist,2,0,0.6,64.45334315299988,0.7984474897384644,0.3,0.01,128,adam,-1,10000
zoo,mnist,2,0,0.6,97.7880128622055,0.7350760102272034,0.3,0.01,256,adam,-1,10000
zoo,mnist,2,0,0.4,68.11177756786347,1.0992002487182617,0.5,0.01,1,adam,-1,10000
zoo,mnist,2,0,1.0,16.156378698349,1.543582558631897,0.5,0.01,8,adam,-1,10000
zoo,mnist,2,0,1.0,4.572471857070923,1.5502333641052246,0.5,0.01,32,adam,-1,10000
zoo,mnist,2,0,1.0,2.6653264999389648,1.5620636940002441,0.5,0.01,64,adam,-1,10000
zoo,mnist,2,0,1.0,1.9939804315567016,1.5222036838531494,0.5,0.01,128,adam,-1,10000
zoo,mnist,2,0,1.0,1.9603520154953002,1.5349786281585693,0.5,0.01,256,adam,-1,10000
zoo,mnist,2,0,0.5,66.81435356140136,1.322749376296997,0.7,0.01,1,adam,-1,10000
zoo,mnist,2,0,1.0,13.80152714252472,1.6466143131256104,0.7,0.01,8,adam,-1,10000
zoo,mnist,2,0,1.0,3.570561408996582,1.6621814966201782,0.7,0.01,32,adam,-1,10000
zoo,mnist,2,0,1.0,2.178864026069641,1.6472437381744385,0.7,0.01,64,adam,-1,10000
zoo,mnist,2,0,1.0,1.7898397207260133,1.632851243019104,0.7,0.01,128,adam,-1,10000
zoo,mnist,2,0,1.0,2.1021098613739015,1.5773274898529053,0.7,0.01,256,adam,-1,10000
zoo,mnist,2,0,0.5,68.96261518001556,1.4158825874328613,0.9,0.01,1,adam,-1,10000
zoo,mnist,2,0,1.0,12.50232548713684,1.7221275568008423,0.9,0.01,8,adam,-1,10000
zoo,mnist,2,0,1.0,3.352476167678833,1.7232526540756226,0.9,0.01,32,adam,-1,10000
zoo,mnist,2,0,1.0,2.212053346633911,1.7520673274993896,0.9,0.01,64,adam,-1,10000
zoo,mnist,2,0,1.0,1.6117528438568116,1.7130998373031616,0.9,0.01,128,adam,-1,10000
zoo,mnist,2,0,1.0,2.0235002994537354,1.6699769496917725,0.9,0.01,256,adam,-1,10000
